blaSHV_155.1_JX121122 was removed because does not look like a gene, so removing its metadata
blaSHV_158.1_JX121125 was removed because does not look like a gene, so removing its metadata
blaSHV_159.1_JX121126 was removed because does not look like a gene, so removing its metadata
blaSHV_162.1_JX121129 was removed because does not look like a gene, so removing its metadata
blaSHV_163.1_JX121130 was removed because does not look like a gene, so removing its metadata
blaSHV_165.1_JX121131 was removed because does not look like a gene, so removing its metadata
blaSHV_83.1_AM176558 was removed because does not look like a gene, so removing its metadata
blaTEM_169.1_FJ873740 was removed because does not look like a gene, so removing its metadata
blaTEM_199.1_JX050178 was removed because does not look like a gene, so removing its metadata
blaTEM_205.1_KC900516 was removed because does not look like a gene, so removing its metadata
blaTEM_21.1_Y17582 was removed because does not look like a gene, so removing its metadata
blaTEM_213.1_KF663615 was removed because does not look like a gene, so removing its metadata
blaTEM_22.1_Y17583 was removed because does not look like a gene, so removing its metadata
blaZEG_1.1_AY265891 was removed because does not look like a gene, so removing its metadata
catS.1_X74948 was removed because does not look like a gene, so removing its metadata
dfrA16.1_FN561628 was removed because does not look like a gene, so removing its metadata
erm_A_.3_EU348758 was removed because does not look like a gene, so removing its metadata
erm_B_.7_AF368302 was removed because does not look like a gene, so removing its metadata
erm_V_.1_U59450 was removed because does not look like a gene, so removing its metadata
mph_D_.1_AB048591 was removed because does not look like a gene, so removing its metadata
nimE.1_AJ244018 was removed because does not look like a gene, so removing its metadata
nimE.1_AM042593 was removed because does not look like a gene, so removing its metadata
nimF.1_AJ515145 was removed because does not look like a gene, so removing its metadata
nimH.1_FJ969397 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940883 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940884 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940886 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940887 was removed because does not look like a gene, so removing its metadata
nimI.1_FJ940889 was removed because does not look like a gene, so removing its metadata
str.3_AM932524 was removed because does not look like a gene, so removing its metadata
tetA_P_.2_HQ399624 was removed because does not look like a gene, so removing its metadata
tet_E_.2_EF471995 was removed because does not look like a gene, so removing its metadata
